ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
01/22/2020,Gujarat,India,2020-01-22 00:00:00,982,19,81
01/23/2020,Gujarat,India,2020-01-23 00:00:00,1137,33,352
01/24/2020,Gujarat,India,2020-01-24 00:00:00,1608,41,706
01/25/2020,Gujarat,India,2020-01-25 00:00:00,2073,46,743
01/26/2020,Gujarat,India,2020-01-26 00:00:00,2389,61,930
01/27/2020,Gujarat,India,2020-01-27 00:00:00,2477,68,1134
01/28/2020,Gujarat,India,2020-01-28 00:00:00,2549,81,1225
01/29/2020,Gujarat,India,2020-01-29 00:00:00,2907,92,1440
01/30/2020,Gujarat,India,2020-01-30 00:00:00,3172,101,1805
01/31/2020,Gujarat,India,2020-01-31 00:00:00,3356,115,1914
02/01/2020,Gujarat,India,2020-02-01 00:00:00,3757,124,2272
02/02/2020,Gujarat,India,2020-02-02 00:00:00,3992,128,2525
02/03/2020,Gujarat,India,2020-02-03 00:00:00,4435,135,2770
02/04/2020,Gujarat,India,2020-02-04 00:00:00,4799,147,2812
02/05/2020,Gujarat,India,2020-02-05 00:00:00,5147,147,2952
02/06/2020,Gujarat,India,2020-02-06 00:00:00,5265,153,3127
02/07/2020,Gujarat,India,2020-02-07 00:00:00,5589,164,3269
02/08/2020,Gujarat,India,2020-02-08 00:00:00,5799,181,3519
02/09/2020,Gujarat,India,2020-02-09 00:00:00,6072,196,3572
02/10/2020,Gujarat,India,2020-02-10 00:00:00,6456,214,3758
02/11/2020,Gujarat,India,2020-02-11 00:00:00,6938,230,3858
02/12/2020,Gujarat,India,2020-02-12 00:00:00,7419,237,4089
02/13/2020,Gujarat,India,2020-02-13 00:00:00,7591,238,4125
02/14/2020,Gujarat,India,2020-02-14 00:00:00,7895,247,4455
02/15/2020,Gujarat,India,2020-02-15 00:00:00,8281,249,4748
02/16/2020,Gujarat,India,2020-02-16 00:00:00,8768,251,4844
02/17/2020,Gujarat,India,2020-02-17 00:00:00,9014,269,5055
02/18/2020,Gujarat,India,2020-02-18 00:00:00,9371,273,5132
02/19/2020,Gujarat,India,2020-02-19 00:00:00,9818,276,5378
02/20/2020,Gujarat,India,2020-02-20 00:00:00,9953,282,5576
01/22/2020,Maharashtra,India,2020-01-22 00:00:00,718,21,150
01/23/2020,Maharashtra,India,2020-01-23 00:00:00,1084,37,261
01/24/2020,Maharashtra,India,2020-01-24 00:00:00,1576,40,417
01/25/2020,Maharashtra,India,2020-01-25 00:00:00,1859,49,521
01/26/2020,Maharashtra,India,2020-01-26 00:00:00,2247,69,630
01/27/2020,Maharashtra,India,2020-01-27 00:00:00,2695,74,895
01/28/2020,Maharashtra,India,2020-01-28 00:00:00,3140,85,1082
01/29/2020,Maharashtra,India,2020-01-29 00:00:00,3412,92,1104
01/30/2020,Maharashtra,India,2020-01-30 00:00:00,3740,93,1293
01/31/2020,Maharashtra,India,2020-01-31 00:00:00,3953,100,1353
02/01/2020,Maharashtra,India,2020-02-01 00:00:00,4137,114,1580
02/02/2020,Maharashtra,India,2020-02-02 00:00:00,4485,119,1799
02/03/2020,Maharashtra,India,2020-02-03 00:00:00,4980,134,2163
02/04/2020,Maharashtra,India,2020-02-04 00:00:00,5153,150,2322
02/05/2020,Maharashtra,India,2020-02-05 00:00:00,5469,165,2650
02/06/2020,Maharashtra,India,2020-02-06 00:00:00,5774,167,2755
02/07/2020,Maharashtra,India,2020-02-07 00:00:00,6074,181,2980
02/08/2020,Maharashtra,India,2020-02-08 00:00:00,6193,194,3277
02/09/2020,Maharashtra,India,2020-02-09 00:00:00,6542,205,3572
02/10/2020,Maharashtra,India,2020-02-10 00:00:00,6790,220,3951
02/11/2020,Maharashtra,India,2020-02-11 00:00:00,6924,237,4196
02/12/2020,Maharashtra,India,2020-02-12 00:00:00,7024,250,4234
02/13/2020,Maharashtra,India,2020-02-13 00:00:00,7520,250,4478
02/14/2020,Maharashtra,India,2020-02-14 00:00:00,7844,252,4523
02/15/2020,Maharashtra,India,2020-02-15 00:00:00,8073,254,4620
02/16/2020,Maharashtra,India,2020-02-16 00:00:00,8178,273,4872
02/17/2020,Maharashtra,India,2020-02-17 00:00:00,8654,288,4963
02/18/2020,Maharashtra,India,2020-02-18 00:00:00,8938,301,5239
02/19/2020,Maharashtra,India,2020-02-19 00:00:00,9216,311,5630
02/20/2020,Maharashtra,India,2020-02-20 00:00:00,9398,325,5866
01/22/2020,Delhi,India,2020-01-22 00:00:00,753,24,464
01/23/2020,Delhi,India,2020-01-23 00:00:00,924,34,800
01/24/2020,Delhi,India,2020-01-24 00:00:00,990,40,990
01/25/2020,Delhi,India,2020-01-25 00:00:00,1341,58,1331
01/26/2020,Delhi,India,2020-01-26 00:00:00,1636,58,1410
01/27/2020,Delhi,India,2020-01-27 00:00:00,1837,71,1556
01/28/2020,Delhi,India,2020-01-28 00:00:00,2254,80,1621
01/29/2020,Delhi,India,2020-01-29 00:00:00,2327,99,1922
01/30/2020,Delhi,India,2020-01-30 00:00:00,2769,102,2088
01/31/2020,Delhi,India,2020-01-31 00:00:00,2902,117,2180
02/01/2020,Delhi,India,2020-02-01 00:00:00,3136,136,2405
02/02/2020,Delhi,India,2020-02-02 00:00:00,3588,142,2604
02/03/2020,Delhi,India,2020-02-03 00:00:00,3731,144,2926
02/04/2020,Delhi,India,2020-02-04 00:00:00,3880,157,3052
