Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category
01/01/2026,Kolkata,242.85,320.65,38.86,41.24,3.93,98.43,196,Moderate
02/01/2026,Surat,197.16,106.66,49.29,68.81,2.88,154.87,144,Moderate
03/01/2026,Bengaluru,235.78,76.37,102.88,53.38,2.24,103.82,155,Moderate
04/01/2026,Kolkata,225.28,186.62,41.45,14.71,4.55,105.36,161,Moderate
05/01/2026,Ahmedabad,155.51,345.41,24.49,7.5,0.73,159.03,167,Moderate
06/01/2026,Pune,231.64,107.46,69.03,52.11,2.56,78.59,150,Moderate
07/01/2026,Bengaluru,35.8,245.08,112.66,4.07,0.25,32.78,87,Satisfactory
08/01/2026,Bengaluru,61.06,273.72,85.04,47.69,2.45,14.89,100,Satisfactory
09/01/2026,Kolkata,25.63,106.04,70.56,75.34,0.47,138.37,68,Satisfactory
10/01/2026,Mumbai,91.45,263.03,16.18,46.89,0.77,115.45,116,Moderate
11/01/2026,Ahmedabad,106.34,147.69,75.73,32.28,0.76,129.69,110,Moderate
12/01/2026,Kolkata,78.77,232.34,118.86,52.18,3.32,46.2,109,Moderate
13/01/2026,Ahmedabad,209.75,232.73,21.11,37.74,3.78,33.18,151,Moderate
14/01/2026,Ahmedabad,98.84,201.45,64.61,44.56,3.0,12.47,99,Satisfactory
15/01/2026,Pune,81.02,58.89,105.9,75.43,4.82,69.6,78,Satisfactory
16/01/2026,Bengaluru,142.53,297.3,90.19,32.12,2.0,110.29,155,Moderate
17/01/2026,Surat,48.12,132.65,85.16,76.97,1.57,76.68,76,Satisfactory
18/01/2026,Pune,203.52,89.69,85.79,72.62,4.37,84.37,139,Moderate
19/01/2026,Pune,32.52,43.05,46.34,17.27,1.27,163.71,56,Satisfactory
20/01/2026,Ahmedabad,246.92,219.09,38.76,7.41,4.82,69.2,171,Moderate
21/01/2026,Chennai,196.48,246.82,98.08,9.86,0.26,97.38,168,Moderate
22/01/2026,Bengaluru,61.7,35.31,98.16,3.42,4.86,143.22,71,Satisfactory
23/01/2026,Mumbai,16.3,193.87,104.71,9.37,0.41,77.41,74,Satisfactory
24/01/2026,Pune,206.63,102.48,110.02,55.27,4.48,115.75,150,Moderate
25/01/2026,Surat,181.11,236.46,63.8,7.55,2.73,156.6,162,Moderate
26/01/2026,Chennai,186.32,85.8,62.67,26.88,4.97,171.42,137,Moderate
27/01/2026,Chennai,196.25,251.1,96.8,67.9,0.55,35.0,162,Moderate
28/01/2026,Mumbai,32.4,153.76,79.75,3.82,2.86,167.52,83,Satisfactory
29/01/2026,Pune,99.24,329.75,85.73,65.53,4.85,93.66,141,Moderate
30/01/2026,Surat,42.23,74.01,96.52,23.98,2.71,53.9,58,Satisfactory
31/01/2026,Bengaluru,217.83,139.14,107.35,11.22,3.22,88.05,156,Moderate
01/02/2026,Delhi,161.48,66.31,43.87,56.35,3.54,176.61,122,Moderate
02/02/2026,Surat,92.76,325.9,48.19,51.06,2.38,93.75,131,Moderate
03/02/2026,Mumbai,29.94,310.75,15.81,70.44,3.21,65.89,91,Satisfactory
04/02/2026,Chennai,88.08,112.54,71.5,59.34,3.0,117.68,93,Satisfactory
05/02/2026,Bengaluru,91.42,241.19,9.13,64.67,4.53,50.82,102,Moderate
06/02/2026,Surat,186.46,291.51,58.54,24.0,0.42,22.9,156,Moderate
07/02/2026,Delhi,164.83,207.66,67.4,15.84,1.55,31.91,131,Moderate
08/02/2026,Delhi,223.49,199.49,37.95,60.55,4.76,31.77,154,Moderate
09/02/2026,Ahmedabad,125.97,107.39,72.95,64.93,4.47,35.82,98,Satisfactory
10/02/2026,Ahmedabad,43.1,59.79,8.51,79.26,2.39,33.6,42,Good
11/02/2026,Kolkata,182.61,317.11,9.3,34.18,3.18,118.95,167,Moderate
12/02/2026,Mumbai,193.78,318.13,99.6,31.02,1.53,40.92,173,Moderate
13/02/2026,Pune,146.9,232.59,46.42,62.56,1.1,68.76,133,Moderate
14/02/2026,Surat,196.18,138.49,19.61,28.58,2.43,162.45,145,Moderate
15/02/2026,Surat,131.04,141.75,65.06,74.6,1.9,90.57,114,Moderate
16/02/2026,Pune,137.84,262.31,93.55,68.96,3.0,123.48,150,Moderate
17/02/2026,Kolkata,115.47,317.08,29.82,35.46,0.57,39.29,128,Moderate
18/02/2026,Chennai,20.97,313.87,76.63,60.57,4.88,42.69,93,Satisfactory
19/02/2026,Chennai,40.35,279.56,14.81,60.85,4.93,16.95,82,Satisfactory
20/02/2026,Kolkata,22.39,235.45,10.94,10.04,3.55,38.72,65,Satisfactory
21/02/2026,Chennai,164.56,56.92,66.11,72.4,2.77,57.36,108,Moderate
22/02/2026,Ahmedabad,88.87,81.72,67.17,41.41,1.69,40.09,74,Satisfactory
23/02/2026,Surat,134.51,317.54,78.3,66.46,4.11,25.08,143,Moderate
24/02/2026,Kolkata,228.28,224.06,88.5,26.96,3.49,30.51,167,Moderate
25/02/2026,Surat,73.58,32.94,117.22,71.85,0.98,88.33,74,Satisfactory
26/02/2026,Pune,111.44,62.47,64.37,32.36,4.57,45.08,81,Satisfactory
27/02/2026,Delhi,192.55,242.32,42.14,2.85,4.15,71.93,152,Moderate
28/02/2026,Ahmedabad,68.77,31.62,96.45,72.62,4.76,95.58,70,Satisfactory
01/03/2026,Bengaluru,33.09,81.46,36.15,9.12,3.68,127.37,56,Satisfactory
02/03/2026,Ahmedabad,83.09,205.59,55.48,26.91,3.14,16.68,91,Satisfactory
